,catid,surfacedensity,surfacedensity_err,completenesscorrection,areacorrection,surfacedensityflag,surfacedensity_m19,surfacedensity_err_m19,completenesscorrection_m19,areacorrection_m19,surfacedensityflag_m19
95,509577,0.575,0.043,1.0,1.0,0,0.575,0.0191,1.0,1.0,0
96,585581,0.122,0.0151,1.0,1.0,0,0.09,0.0164,1.0,1.0,0
97,599848,4.461,4.8727,1.0,1.0,0,4.461,4.8727,1.0,1.0,0
98,600026,0.303,0.0508,1.0,1.0,0,0.27,0.0274,1.0,1.0,0
99,176812,0.234,0.0236,1.0,1.4757725,1,0.234,0.0236,1.0,1.4757725,1
100,62954,0.512,0.074,1.0,1.0,0,0.512,0.074,1.0,1.0,0
101,145511,0.132,0.1273,1.0666667,1.0,0,0.132,0.1273,1.0666667,1.0,0
102,214623,1.618,0.9981,1.0,1.0,0,1.54,0.7189,1.0,1.0,0
103,377459,0.044,0.0078,1.0,1.0,0,0.044,0.0078,1.0,1.0,0
104,301799,0.505,0.0259,1.0,1.0,0,0.381,0.0614,1.0,1.0,0
105,485610,0.222,0.0371,1.1332729,1.530359,1,0.222,0.0371,1.1332729,1.530359,1
106,215051,0.246,0.0478,1.0,1.0,0,0.246,0.04,1.0,1.0,0
107,558861,1.212,0.3347,1.0,1.4634721,1,0.731,0.3304,1.0,1.5667915,1
108,210781,1.24,0.2058,1.0,1.0,0,1.127,0.1488,1.0,1.0,0
109,227964,5.802,4.9834,1.0666667,1.0,0,5.802,4.9834,1.0666667,1.0,0
110,619220,0.552,0.1589,1.1538018,1.0,0,0.4,0.0691,1.1538018,1.0,0
111,278918,0.691,0.1449,1.0,1.0,0,0.664,0.1115,1.0,1.0,0
112,64127,0.51,0.0586,1.0,1.0,0,0.51,0.0586,1.0,1.0,0
113,16487,3.896,0.6499,1.0,1.0,0,3.788,0.6715,1.0,1.0,0
114,545411,0.106,0.0187,1.0768899,1.0,0,0.098,0.0149,1.0768899,1.0,0
115,618084,3.167,0.5734,1.0400416,1.0,0,3.136,0.5793,1.0400416,1.0,0
116,227168,3.223,0.6362,1.0,1.0,0,3.223,0.5431,1.0,1.0,0
117,14460,0.135,0.0231,1.149954,1.9728127,1,0.121,0.0155,1.149954,1.974426,1
118,298767,0.167,0.0505,1.0,1.0,0,0.167,0.0505,1.0,1.0,0
119,346842,3.554,0.2753,1.0344471,1.0,0,2.632,0.4631,1.0344471,1.0,0
120,417975,0.336,0.271,1.0,1.6629351,1,0.096,0.0151,1.0,1.8110553,1
121,49363,0.135,0.0745,1.0454783,1.0,0,0.077,0.0302,1.0454783,1.0353365,1
122,514167,0.009,0.0017,1.0,1.860053,1,0.009,0.0016,1.0,1.8613919,1
123,484771,0.528,0.1716,1.0624734,1.8158281,1,0.528,0.1716,1.0624734,1.8158281,1
124,560114,nan,nan,nan,nan,9,0.135,0.0104,1.0741138,1.0,0
125,508938,3.107,0.4972,1.0714668,1.0,0,3.107,0.4972,1.0714668,1.0,0
126,298042,2.665,0.4048,1.0,1.0,0,1.88,0.32,1.0,1.0,0
127,196804,0.136,0.0171,1.0,1.3356721,1,0.093,0.0173,1.0,1.4260244,1
128,302848,0.079,0.0109,1.0,1.0485438,1,0.079,0.0109,1.0,1.0485438,1
129,599873,0.209,0.011,1.0,1.0,0,0.081,0.0861,1.0,1.0,0
130,620087,3.032,0.3887,1.0,1.0,0,2.478,0.1653,1.0,1.0,0
131,345526,0.655,0.1211,1.0,1.0,0,0.655,0.1211,1.0,1.0,0
132,377349,0.403,0.0489,1.0,1.0,0,0.403,0.0489,1.0,1.0,0
133,381339,0.488,0.083,1.0454783,1.0,0,0.414,0.0296,1.0454783,1.0,0
134,323721,0.376,0.0658,1.0,1.0,0,0.321,0.0402,1.0,1.0,0
135,215834,0.134,0.0268,1.0,1.0,0,0.095,0.0111,1.0,1.0,0
136,511934,0.2,0.0255,1.0400416,1.0790164,1,0.168,0.0318,1.0400416,1.1201158,1
137,323281,0.081,0.0161,1.0,1.0,0,0.081,0.0161,1.0,1.0,0
138,321022,0.311,0.0201,1.049979,1.0,0,0.311,0.0201,1.049979,1.0,0
139,24414,0.272,0.0785,1.0,1.4738964,1,0.246,0.0287,1.0,1.4950846,1
140,22962,0.616,0.0899,1.0,1.0,0,0.616,0.0899,1.0,1.0,0
141,15561,0.502,0.0909,1.0952903,1.0,0,0.502,0.0909,1.0952903,1.0,0
142,567876,1.0,0.4062,1.0666667,1.0,0,1.0,0.4062,1.0666667,1.0,0
143,237809,nan,nan,nan,nan,9,0.005,0.0005,1.0,1.3873297,1
144,323575,1.197,0.4232,1.0,1.0,0,0.645,0.3127,1.0,1.0,0
145,49090,0.194,0.0469,1.0,1.0,0,0.194,0.0469,1.0,1.0,0
146,289176,26.302,16.7662,1.0714668,1.0,0,19.93,2.7185,1.0714668,1.0,0
147,99078,0.178,0.0181,1.0,1.0,0,0.147,0.0158,1.0,1.0,0
148,215159,2.721,1.3708,1.0,1.0,0,2.721,1.3708,1.0,1.0,0
149,204914,1.821,0.2749,1.0,1.0,0,1.747,0.3695,1.0,1.0,0
150,215281,2.491,0.2652,1.0,1.0,0,0.967,0.1543,1.0,1.0,0
151,106252,0.773,0.0555,1.099989,1.0,0,0.773,0.0555,1.099989,1.0,0
152,98910,1.562,0.7589,1.0416667,1.0,0,1.562,0.7589,1.0416667,1.0,0
153,92068,2.514,5.4582,1.0,1.0,0,2.514,5.4582,1.0,1.0,0
154,205177,17.067,2.4011,1.0,1.0,0,17.067,1.9278,1.0,1.0,0
155,485842,9.2,1.3329,1.0,1.0,0,9.2,1.3329,1.0,1.0,0
156,376404,0.318,0.1353,1.0,1.0,0,0.318,0.1353,1.0,1.0,0
157,40768,0.292,0.2872,1.0,1.0,0,0.292,0.2872,1.0,1.0,0
158,382172,3.393,0.5163,1.0454783,1.0,0,3.393,0.5163,1.0454783,1.0,0
159,54296,0.4,0.1553,1.0400416,1.0,0,0.4,0.1558,1.0400416,1.0,0
160,227223,0.252,0.0321,1.0,1.0,0,0.252,0.0321,1.0,1.0,0
161,323220,0.262,0.0734,1.0,1.0,0,0.262,0.0734,1.0,1.0,0
162,623620,1.193,0.6208,1.0,1.0,0,0.831,0.123,1.0,1.0,0
163,71382,0.63,0.1244,1.0,1.0,0,0.443,0.0668,1.0,1.0,0
164,544027,0.774,2.7993,1.0,1.0,0,0.774,2.7993,1.0,1.0,0
165,106507,0.556,0.0994,1.0,1.0,0,0.556,0.0994,1.0,1.0,0
166,419339,2.6,2.149,1.0714668,1.0,0,2.6,2.149,1.0714668,1.0,0
167,536087,1.768,0.1063,1.0,1.0,0,1.262,0.1529,1.0,1.0,0
168,417676,0.229,0.0435,1.0,1.0844134,1,0.227,0.0329,1.0,1.0863951,1
169,388390,2.189,0.5823,1.0,1.0,0,2.189,0.5823,1.0,1.0,0
170,325356,0.413,0.0442,1.0,1.0,0,0.413,0.0442,1.0,1.0,0
171,373202,6.307,0.9857,1.049979,1.0,0,6.307,0.9857,1.049979,1.0,0
172,610661,0.358,0.0948,1.0,1.0,0,0.358,0.0948,1.0,1.0,0
173,79693,32.132,9.4118,1.0,1.0,0,18.934,6.7721,1.0,1.0,0
174,71269,0.15,0.0054,1.0,1.0,0,0.15,0.0054,1.0,1.0,0
175,7202,0.034,0.0068,1.0,1.0,0,0.034,0.0068,1.0,1.0,0
176,618285,0.822,0.1235,1.0,1.0,0,0.822,0.1235,1.0,1.0,0
177,143934,0.108,0.0154,1.0,1.0,0,0.09,0.0151,1.0,1.0146905,1
178,492385,6.863,1.044,1.0833063,1.0,0,6.863,1.044,1.0833063,1.0,0
179,463641,1.886,0.3727,1.0,1.0,0,1.886,0.3727,1.0,1.0,0
180,509444,0.149,0.0265,1.0666667,1.4921283,1,0.138,0.0189,1.0666667,1.5075254,1
181,230174,0.292,0.0452,1.0,1.825483,1,0.292,0.0452,1.0,1.825483,1
182,301885,0.213,0.0462,1.0,1.0,0,0.213,0.0462,1.0,1.0,0
183,517046,1.123,0.1497,1.0,1.0,0,0.857,0.1597,1.0,1.0306581,1
184,617696,2.046,0.3272,1.0666667,1.0,0,2.046,0.3272,1.0666667,1.0,0
185,346475,0.287,0.0562,1.0,1.0,0,0.23,0.023,1.0,1.0,0
186,567736,1.761,1.5657,1.0,1.0,0,1.761,1.5657,1.0,1.0,0
187,691143,0.683,0.1201,1.0,1.0,0,0.683,0.1201,1.0,1.0,0
188,592216,2.122,0.3982,1.0,1.0,0,2.122,0.3982,1.0,1.0,0
189,227961,7.284,3.9524,1.0,1.0,0,7.284,3.9524,1.0,1.0,0
190,504728,7.865,4.0219,1.0,1.1760587,1,7.865,4.0219,1.0,1.1760587,1
191,240263,1.226,0.1127,1.0,1.0,0,1.226,0.1127,1.0,1.0,0
