target_name,califaid,raj2000,dej2000,redshift,sdss_z,maj_axis,mstar,mstar_min,mstar_max,chi2,vmax_nocorr,vmax_denscorr,magu,err_magu,u_ext,abs_u_min,abs_u_max,magg,err_magg,g_ext,abs_g_min,abs_g_max,magr,err_magr,r_ext,abs_r_min,abs_r_max,magi,err_magi,i_ext,abs_i_min,abs_i_max,magz,err_magz,z_ext,abs_z_min,abs_z_max,hubtyp,minhubtyp,maxhubtyp,bar,flag_release_comb,flag_release_v1200,flag_release_v500,axis_ratio,position_angle,el_hlr,modmag_r
UGC04551,221,131.024658203125,49.79386901855469,0.0069,0.0058,63.01,10.339,10.245,10.435,0.11277,28500.0,37100.0,14.49926,14.49926,,-18.076,-17.937,12.95579,12.95579,,-19.548,-19.501,12.16799,12.16799,,-20.261,-20.222,11.73289,11.73289,,-20.692,-20.641,11.45278,11.45278,,-21.064,-20.963,S 0,S 0,S 0a,A (A .. AB),1,1,1,0.80644,118.44076,5.544,
IC2407,225,132.03811645507812,17.611469268798828,0.0215,0.0206,49.13,10.407,10.307,10.508,0.4217,646000.0,570000.0,16.34078,16.34078,,-18.677,-18.536,14.97549,14.97549,,-20.039,-19.993,14.22781,14.22781,,-20.683,-20.647,13.81704,13.81704,,-21.088,-21.036,13.50198,13.50198,,-21.439,-21.336,S bc,S b,S cd,A,0,1,0,0.24813,85.57568,11.88,
UGC04659,226,133.6688995361328,47.104888916015625,0.007,0.0061,55.7,8.8621,8.7593,8.9673,0.4783,20700.0,25200.0,15.83065,15.83065,,-16.744,-16.606,14.81294,14.81294,,-17.72,-17.663,14.4075,14.4075,,-18.015,-17.996,14.19805,14.19805,,-18.273,-18.222,13.97871,13.97871,,-18.524,-18.443,S dm,S cd,S r,A (A .. AB),0,1,1,0.37857,114.29373,22.572,
UGC04722,231,135.1005401611328,25.6147403717041,0.007,0.0057,46.62,8.6842,8.5836,8.7926,3.1253,5980.0,7870.0,15.49843,15.49843,,-17.216,-17.03,14.52435,14.52435,,-18.045,-17.97,14.27365,14.27365,,-18.183,-18.16,14.12149,14.12149,,-18.369,-18.296,14.32676,14.32676,,-18.572,-18.462,S dm,S d,S r,A (A .. AB),1,1,1,0.19023,31.87803,32.076,
NGC2730,232,135.56593322753906,16.838289260864258,0.0138,0.0128,50.75,10.117,10.005,10.232,0.27968,171000.0,104000.0,14.44536,14.44536,,-19.59,-19.448,13.43351,13.43351,,-20.591,-20.538,12.99895,12.99895,,-20.936,-20.909,12.73673,12.73673,,-21.221,-21.157,12.00714,12.00714,,-21.491,-21.393,S cd,S c,S d,B (AB .. B),1,1,1,0.63538,65.1656,24.552,
NGC2805,260,140.08493041992188,64.10296630859375,0.0069,0.0061,60.3,10.092,9.8851,10.308,0.72374,28800.0,35000.0,12.87185,12.87185,,-19.777,-19.189,11.99948,11.99948,,-20.71,-20.428,11.3606,11.3606,,-20.947,-20.904,11.24775,11.24775,,-21.24,-21.129,11.16295,11.16295,,-21.528,-21.343,S c,S b,S cd,A,1,1,1,0.76146,17.76583,66.924,
NGC2880,272,142.39402770996094,62.490570068359375,0.0066,0.0051,72.33,10.671,10.536,10.809,7.0039,30500.0,46500.0,13.62278,13.62278,,-18.992,-18.742,12.04796,12.04796,,-20.416,-20.326,11.30654,11.30654,,-21.105,-21.051,10.52966,10.52966,,-21.553,-21.459,10.67844,10.67844,,-21.931,-21.778,E 7,E 3,E 0,AB (A .. B),1,1,1,0.7101,65.86545,18.216,
IC2487,273,142.53819274902344,20.090850830078125,0.0156,0.0145,50.0,10.395,10.294,10.498,0.70226,238000.0,157000.0,15.26366,15.26366,,-19.239,-19.106,13.87804,13.87804,,-20.501,-20.452,13.2002,13.2002,,-21.053,-21.019,12.84808,12.84808,,-21.412,-21.362,12.64135,12.64135,,-21.718,-21.633,S c,S b,S cd,AB (A .. B),0,0,1,0.22266,-15.88877,25.344,
IC0540,274,142.54307556152344,7.902750015258789,0.0078,0.0069,58.3,9.8754,9.7813,9.9721,0.15252,40700.0,41900.0,15.87679,15.87679,,-17.155,-17.023,14.304,14.304,,-18.587,-18.543,13.50773,13.50773,,-19.269,-19.234,13.07899,13.07899,,-19.68,-19.634,12.79942,12.79942,,-20.032,-19.943,S ab,S a,S c,AB (A .. AB),1,1,1,0.30456,170.31783,14.256,
NGC2906,275,143.02590942382812,8.44176959991455,0.0081,0.0071,60.62,10.391,10.295,10.49,0.057863,50500.0,49500.0,14.2253,14.2253,,-18.827,-18.688,12.77616,12.77616,,-20.17,-20.122,12.05326,12.05326,,-20.79,-20.753,11.65849,11.65849,,-21.176,-21.128,11.39985,11.39985,,-21.508,-21.418,S bc,S b,S bc,A (A .. B),1,1,1,0.51128,86.56048,19.404,
NGC2916,277,143.74000549316406,21.705259323120117,0.0136,0.0124,58.05,10.753,10.646,10.859,0.23081,236000.0,140000.0,13.6739,13.6739,,-20.403,-20.255,12.40019,12.40019,,-21.597,-21.54,11.7966,11.7966,,-22.093,-22.058,11.48878,11.48878,,-22.433,-22.379,11.26033,11.26033,,-22.733,-22.642,S bc,S b,S c,A (A .. B),1,1,1,0.58891,12.82305,26.136,
UGC05108,278,143.8594970703125,29.812620162963867,0.028,0.0271,53.75,10.889,10.782,11.003,3.5625,1420000.0,1520000.0,15.57795,15.57795,,-20.176,-20.049,13.94186,13.94186,,-21.555,-21.489,13.37405,13.37405,,-22.119,-22.085,12.93336,12.93336,,-22.5,-22.446,12.79088,12.79088,,-22.839,-22.745,S b,S a,S cd,B,1,1,1,0.77254,134.57182,9.504,
NGC2918,279,143.93350219726562,31.705469131469727,0.0239,0.0226,54.35,11.443,11.331,11.555,0.53477,1160000.0,1370000.0,14.8818,14.8818,,-20.508,-20.356,13.1523,13.1523,,-22.035,-21.979,12.33449,12.33449,,-22.776,-22.731,11.94734,11.94734,,-23.239,-23.181,11.48965,11.48965,,-23.65,-23.535,E 6,E 4,E 0,A,1,1,1,0.71472,65.54719,12.276,
UGC05111,280,144.21897888183594,66.78829956054688,0.0234,0.0225,48.55,10.986,10.887,11.105,0.026564,808000.0,958000.0,16.36138,16.36138,,-19.298,-19.166,14.60384,14.60384,,-20.834,-20.789,13.6965,13.6965,,-21.593,-21.552,13.20182,13.20182,,-22.063,-22.009,12.75506,12.75506,,-22.475,-22.365,S b,S a,S cd,AB (A .. B),1,1,1,0.24724,119.44433,16.236,
UGC05113,281,144.2378387451172,66.54866790771484,0.0235,0.0227,46.49,11.101,11.007,11.211,2.2335,731000.0,870000.0,16.39073,16.39073,,-19.353,-19.22,14.43037,14.43037,,-20.974,-20.921,13.55268,13.55268,,-21.763,-21.72,12.98553,12.98553,,-22.25,-22.198,12.67958,12.67958,,-22.669,-22.569,S 0a,S 0,S a,AB (A .. B),1,1,1,0.33691,43.36832,8.316,
UGC05244,297,147.19906616210938,64.16690826416016,0.0112,0.01,56.73,9.3568,9.2343,9.4855,0.3114,116000.0,65400.0,15.85409,15.85409,,-17.908,-17.649,14.83593,14.83593,,-18.885,-18.772,14.33723,14.33723,,-19.175,-19.151,14.0873,14.0873,,-19.448,-19.38,13.88882,13.88882,,-19.707,-19.604,S bc,S a,S d,A (A .. AB),1,1,1,0.21903,32.94791,17.424,
UGC05358,306,149.69639587402344,11.388699531555176,0.0109,0.0097,48.03,9.2826,9.176,9.3845,1.0912,62800.0,37700.0,15.74088,15.74088,,-17.872,-17.738,14.71454,14.71454,,-18.835,-18.78,14.28506,14.28506,,-19.12,-19.1,14.09675,14.09675,,-19.372,-19.322,13.9142,13.9142,,-19.616,-19.535,S d,S cd,S d,B (AB .. B),1,1,1,0.33149,89.70997,22.968,
