#####################################################################
# This is Table 4 from the paper McDermid et. al (2015)
# "The Atlas3D project -- XXX.  Star formation histories and stellar 
#  population scaling relations of early-type galaxies 
#
# Table title: Mass-weighted stellar population properties
#              measured within Re
#
# Column descriptions:
#  (1) Galaxy name.
#  (2) Mass-weighted age.
#  (3) Mass-weighted metallicity.
#  (4) Half-mass formation time.
#
#####################################################################
#   Name    |     Age_SHF     |     [Z/H]_SFH    |       t50        |
#           |       Gyr       |                  |       Gyr        |
#   (1)     |       (2)       |        (3)       |       (4)        |
#####################################################################
   NGC4268     7.69 +/- 0.71     -0.18 +/- 0.06      5.71 +/- 0.71
   NGC4270     9.60 +/- 0.69     -0.18 +/- 0.02      4.05 +/- 0.69
   NGC4278    13.74 +/- 0.69     -0.11 +/- 0.02      0.68 +/- 0.69
   NGC4281    12.91 +/- 0.72     -0.11 +/- 0.02      1.28 +/- 0.72
   NGC4283    11.64 +/- 0.69     -0.10 +/- 0.02      2.30 +/- 0.69
   NGC4324     9.82 +/- 0.86     -0.28 +/- 0.05      3.69 +/- 0.86
   NGC4339     8.75 +/- 0.74     -0.18 +/- 0.05      4.78 +/- 0.74
   NGC4340    10.91 +/- 0.68     -0.13 +/- 0.02      2.71 +/- 0.68
   NGC4342    13.76 +/- 0.69     -0.02 +/- 0.03      0.66 +/- 0.69
   NGC4346    11.35 +/- 0.72     -0.22 +/- 0.03      2.57 +/- 0.72
   NGC4350    13.83 +/- 0.69     -0.09 +/- 0.02      0.61 +/- 0.69
   NGC4365    13.38 +/- 0.69      0.02 +/- 0.02      0.92 +/- 0.69
   NGC4371    13.07 +/- 0.71     -0.13 +/- 0.02      1.13 +/- 0.71
   NGC4374    13.68 +/- 0.75     -0.02 +/- 0.02      0.74 +/- 0.75
   NGC4377    12.29 +/- 0.68     -0.25 +/- 0.02      1.83 +/- 0.68
   NGC4379    13.16 +/- 0.66     -0.33 +/- 0.02      1.05 +/- 0.66
   NGC4382     9.48 +/- 0.71     -0.08 +/- 0.02      4.43 +/- 0.71
   NGC4387    12.85 +/- 0.66     -0.20 +/- 0.02      1.32 +/- 0.66
   NGC4406    13.66 +/- 0.77     -0.05 +/- 0.02      0.74 +/- 0.77
   NGC4417    13.39 +/- 0.69     -0.22 +/- 0.01      0.92 +/- 0.69
   NGC4425     8.97 +/- 0.76     -0.18 +/- 0.03      4.59 +/- 0.76
   NGC4429    13.60 +/- 0.72     -0.04 +/- 0.02      0.77 +/- 0.72
   NGC4434    12.19 +/- 0.63     -0.24 +/- 0.02      1.91 +/- 0.63
   NGC4435    12.36 +/- 0.71     -0.18 +/- 0.03      1.75 +/- 0.71
   NGC4442    13.83 +/- 0.69     -0.09 +/- 0.02      0.61 +/- 0.69
   NGC4452     9.56 +/- 0.69     -0.24 +/- 0.02      4.07 +/- 0.69
   NGC4458    12.97 +/- 0.66     -0.42 +/- 0.01      1.17 +/- 0.66
   NGC4459    11.92 +/- 0.71     -0.13 +/- 0.02      2.05 +/- 0.71
   NGC4461    11.96 +/- 0.71     -0.10 +/- 0.02      2.06 +/- 0.71
   NGC4472    13.28 +/- 0.69      0.07 +/- 0.02      1.00 +/- 0.69
   NGC4473    13.03 +/- 0.70     -0.11 +/- 0.01      1.09 +/- 0.70
   NGC4474    11.06 +/- 0.67     -0.30 +/- 0.02      2.82 +/- 0.67
   NGC4476     5.80 +/- 1.26     -0.54 +/- 0.06      7.73 +/- 1.26
   NGC4477    13.41 +/- 0.68     -0.07 +/- 0.01      0.88 +/- 0.68
   NGC4478    13.61 +/- 0.69     -0.19 +/- 0.02      0.76 +/- 0.69
   NGC4483    12.84 +/- 0.67     -0.26 +/- 0.02      1.35 +/- 0.67
   NGC4486    12.66 +/- 0.64      0.09 +/- 0.03      1.50 +/- 0.64
  NGC4486A    13.19 +/- 0.66     -0.26 +/- 0.04      1.06 +/- 0.66
   NGC4489     8.54 +/- 0.62     -0.33 +/- 0.03      4.95 +/- 0.62
   NGC4494    11.02 +/- 0.71     -0.21 +/- 0.03      3.04 +/- 0.71
   NGC4503    13.28 +/- 0.70     -0.11 +/- 0.01      1.00 +/- 0.70
   NGC4521    12.26 +/- 0.70     -0.08 +/- 0.02      1.83 +/- 0.70
   NGC4526    13.62 +/- 0.69     -0.05 +/- 0.02      0.77 +/- 0.69
   NGC4528    11.18 +/- 0.63     -0.37 +/- 0.02      2.83 +/- 0.63
   NGC4546    13.61 +/- 0.68     -0.11 +/- 0.02      0.75 +/- 0.68
   NGC4550    10.00 +/- 0.71     -0.37 +/- 0.03      3.93 +/- 0.71
   NGC4551    13.17 +/- 0.71     -0.15 +/- 0.02      1.06 +/- 0.71
   NGC4552    13.59 +/- 0.68      0.04 +/- 0.02      0.79 +/- 0.68
   NGC4564    13.27 +/- 0.71     -0.14 +/- 0.02      0.97 +/- 0.71
   NGC4570    13.51 +/- 0.68     -0.12 +/- 0.02      0.84 +/- 0.68
   NGC4578    11.16 +/- 0.76     -0.17 +/- 0.02      2.74 +/- 0.76
   NGC4596    13.10 +/- 0.69     -0.14 +/- 0.01      1.08 +/- 0.69
   NGC4608    13.53 +/- 0.68     -0.17 +/- 0.02      0.82 +/- 0.68
   NGC4612     8.52 +/- 0.50     -0.30 +/- 0.02      5.01 +/- 0.50
   NGC4621    13.73 +/- 0.71     -0.07 +/- 0.02      0.69 +/- 0.71
   NGC4623    11.39 +/- 0.80     -0.30 +/- 0.03      2.53 +/- 0.80
   NGC4624    12.98 +/- 0.70     -0.13 +/- 0.02      1.21 +/- 0.70
   NGC4636    13.68 +/- 0.68     -0.03 +/- 0.02      0.73 +/- 0.68
   NGC4638     9.95 +/- 0.64     -0.12 +/- 0.01      3.32 +/- 0.64
   NGC4643    12.47 +/- 0.69     -0.07 +/- 0.01      1.48 +/- 0.69
   NGC4649    13.16 +/- 0.67      0.11 +/- 0.03      1.07 +/- 0.67
   NGC4660    13.74 +/- 0.75     -0.15 +/- 0.02      0.68 +/- 0.75
   NGC4684     7.33 +/- 0.94     -0.47 +/- 0.07      6.02 +/- 0.94
   NGC4690     7.01 +/- 0.86     -0.34 +/- 0.05      6.30 +/- 0.86
   NGC4694     4.69 +/- 1.70     -0.66 +/- 0.12      8.44 +/- 1.70
   NGC4697    13.36 +/- 0.70     -0.17 +/- 0.02      0.94 +/- 0.70
   NGC4710     7.04 +/- 0.54     -0.30 +/- 0.03      7.31 +/- 0.54
   NGC4733     6.69 +/- 1.05     -0.18 +/- 0.05      6.61 +/- 1.05
   NGC4753     7.73 +/- 0.75     -0.16 +/- 0.03      6.11 +/- 0.75
   NGC4754    13.04 +/- 0.69     -0.10 +/- 0.02      1.16 +/- 0.69
   NGC4762    11.45 +/- 0.65     -0.20 +/- 0.02      2.24 +/- 0.65
   NGC4803    11.44 +/- 0.67     -0.31 +/- 0.03      2.49 +/- 0.67
   NGC5103    12.34 +/- 0.70     -0.29 +/- 0.02      1.79 +/- 0.70
   NGC5173    10.08 +/- 0.67     -0.48 +/- 0.04      3.16 +/- 0.67
   NGC5198    12.83 +/- 0.74     -0.10 +/- 0.02      1.36 +/- 0.74
   NGC5273     7.91 +/- 0.70     -0.19 +/- 0.05      5.48 +/- 0.70
   NGC5308    13.68 +/- 0.70     -0.12 +/- 0.02      0.73 +/- 0.70
