##########################################################################################################################################
# This table combines information from Table C1 of Krajnovic et al. (2013, MNRAS, 433, 2812) and Table 2 of Krajnovic et al. (2020, A&A)
# Information about the meaning of the columns follows Table C1 of Krajnovic et al. (2013). When using the information from the full table
# please refer to both papers. 
#
# Sources: a - Ferrarese et al. (2006), b1 - Lauer et al. (2005), b2 - Rest et al. (2001), b3 - Ravindranath et al. (2004), 
#          b4 - Quillen et al. (2000), c - Krajnovic et al. (2013) based on ACS archival imaging, 
#          d - Krajnovic et al. (2013) based on WFPC2/PC archival imaging, e - Krajnovic et al. (2020) based on WFC3 imaging.
#
# Note: negative values in columns 12 and 13 indicated upper limits (e.g. -0.10 --> <0.10)
#
# Table title: Fitting parameters for Atlas3D galaxies
##########################################################################################################################################
# Galaxy | Source | Class |  Filter |     Rb   |     mu   |   alpha  |    beta   |    gamma  |    gamma' |    RMS  |    Rgamma |  Rgamma |  
#        |        |       |         | (arcsec) |          |          |           |           |           |         |  (arcsec) |   (pc)  |
#    (1) |  (2)   |  (3)  |   (4)   |    (5)   |    (6)   |    (7)   |    (8)    |    (9)    |    (10)   |   (11)  |    (12)   |   (13)  | 
##########################################################################################################################################
   NGC4350   a        2    F475W       0.94      15.71       5.00       1.24        0.47        0.47       0.06       0.50        36.97   
   NGC4365   a        1    F475W       2.07      16.71       1.53       1.50       -0.01        0.00       0.00       1.33       150.58   
   NGC4371   a        2    F475W       0.53      16.26       3.45       0.81        0.27        0.27       0.02       0.49        40.06   
   NGC4374   a        1    F475W       2.10      16.20       3.73       1.21        0.25        0.25       0.01       1.59       142.37   
   NGC4377   a        2    F475W       1.49      16.80       0.83       2.20        0.22        0.41       0.01       0.17        14.64   
   NGC4379   a        3    F475W      59.50      23.24       0.39       4.15        0.16        0.46       0.02       0.14        10.37   
   NGC4382   a        1    F475W       0.90      14.00       0.80       1.56       -0.21        0.05       0.01       0.55        47.33   
   NGC4387   a        3    F475W      18.17      20.90       1.40       3.61        0.63        0.63       0.01      -0.10        -8.68   
   NGC4406   a        1    F475W       1.05      16.00       3.43       1.11       -0.02       -0.02       0.01       1.00        81.63   
   NGC4417   a        3    F475W       1.94      16.72       5.00       1.48        0.68        0.68       0.01      -0.10        -7.76   
   NGC4425   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4429   d        3    F606W       0.06      14.61       5.00       1.14        0.31        1.07       0.01       0.05         3.76   
   NGC4434   a        3    F475W       6.89      19.63       0.49       3.01        0.22        0.54       0.03       0.08         8.51   
   NGC4435   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4442   a        3    F475W      55.80      21.73       0.54       3.79        0.41        0.52       0.02       0.07         5.28   
   NGC4452   a        2    F475W       4.91      18.87       5.00       1.55        0.39        0.39       0.04       3.13       236.49   
   NGC4458   a        2    F475W       0.16      14.58       2.11       1.54        0.01        0.44       0.00       0.11         8.91   
   NGC4459   a        3    F475W       0.46      15.00       3.64       1.32        0.48        0.49       0.01       0.17        12.94   
   NGC4461   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4472   a        1    F475W       2.82      16.62       1.14       1.43       -0.15       -0.11       0.02       2.06       170.75   
   NGC4473   a        1    F475W       2.66      16.47       0.86       2.10       -0.02        0.10       0.02       0.72        53.40   
   NGC4474   a        3    F475W       3.65      18.16       2.03       1.74        0.57        0.57       0.01      -0.10        -7.56   
   NGC4476   a        2    F475W       3.85      17.92       5.00       2.00        0.34        0.34       0.03       2.46       209.97   
   NGC4477   d        2    F606W       4.89      22.31       1.48      10.00        0.35        0.38       0.01       0.30        23.72   
   NGC4478   a        3    F475W       0.47      15.86       3.69       1.01        0.35        0.35       0.01       0.34        27.80   
   NGC4483   a        3    F475W      83.07      24.00       0.61       3.25        0.84        0.88       0.02      -0.10        -8.10   
   NGC4486   a        1    F475W       8.19      17.90       2.32       1.51        0.23        0.23       0.00       4.64       386.74   
