###########################################################################
# This is Table B1 from Krajnovic et al. 2020, A&A, 
# "Formation channels of slowly rotating early-type galaxies"
############################################################################
# Table Title: Metalicity and Age gradients of the ATLAS3D Sample
#
# Note: Columns (6) and (7), providing the alpha elements gradients and errors
# do not appear in the paper.
#
# Note: galaxies NGC4268 and PGC170172 do not have measured values. 
#
#Galaxy     D[Z/H]   er_D[Z/H]   DAge     er_DAge    Dalpha  er_Dalpah  HST
# (1)         (2)      (3)       (4)       (5)        (6)      (7)      (8)
############################################################################
NGC4340     -0.434     0.042     0.176     0.029     0.224     0.019     1   
NGC4342     -0.286     0.040     0.000     0.011     0.181     0.016     1   
NGC4346     -0.426     0.022     0.164     0.037     0.052     0.012     0   
NGC4350     -0.480     0.025     0.177     0.012     0.201     0.028     1   
NGC4365     -0.242     0.015     0.014     0.011     0.102     0.014     1   
NGC4371     -0.220     0.025     0.141     0.035     0.162     0.026     1   
NGC4374     -0.225     0.018    -0.020     0.023     0.034     0.012     1   
NGC4377     -0.500     0.033     0.269     0.044    -0.028     0.031     1   
NGC4379     -0.229     0.042     0.015     0.095     0.041     0.040     1   
NGC4382     -0.177     0.011     0.364     0.028     0.084     0.012     1   
NGC4387     -0.290     0.037     0.305     0.048     0.176     0.018     1   
NGC4406     -0.187     0.040     0.036     0.065    -0.076     0.026     1   
NGC4417     -0.292     0.035     0.106     0.023     0.181     0.018     1   
NGC4425     -0.298     0.033     0.142     0.039     0.257     0.029     0   
NGC4429     -0.281     0.038     0.379     0.074     0.003     0.016     1   
NGC4434     -0.530     0.032     0.226     0.050     0.087     0.031     1   
NGC4435     -0.574     0.044     0.676     0.106    -0.086     0.037     1   
NGC4442     -0.453     0.050     0.211     0.042     0.115     0.018     1   
NGC4452     -0.297     0.059     0.228     0.032     0.087     0.038     1   
NGC4458     -0.281     0.050     0.073     0.031     0.053     0.032     1   
NGC4459     -0.449     0.018     0.456     0.038    -0.005     0.016     1   
NGC4461     -0.303     0.048     0.122     0.029     0.171     0.015     0   
NGC4472     -0.191     0.012     0.079     0.009     0.124     0.018     1   
