id,ra,dec,survey,filename,exptime,manga_id,manga_plateifu,sami_catid,sami_cubeidpub,califa_id,califa_name,califa_cube,atlas_name,fov_fits
5592,175.02664184570312,-0.8376805782318115,sami,39057_C_cube_blue,12600.0,,,39057,39057_C,,,,,"{{175.030111,-0.841153},{175.030111,-0.834208},{175.023166,-0.834208},{175.023166,-0.841153}}"
5593,175.02664184570312,-0.8376805782318115,sami,39057_A_cube_blue,16050.0,,,39057,39057_A,,,,,"{{175.030111,-0.841153},{175.030111,-0.834208},{175.023166,-0.834208},{175.023166,-0.841153}}"
5594,175.02664184570312,-0.8376805782318115,sami,39057_B_cube_blue,12450.0,,,39057,39057_B,,,,,"{{175.030111,-0.841153},{175.030111,-0.834208},{175.023166,-0.834208},{175.023166,-0.841153}}"
5595,175.93995666503906,-1.2767724990844727,sami,143446_A_cube_blue,12600.0,,,143446,143446_A,,,,,"{{175.943433,-1.280245},{175.943433,-1.273300},{175.936486,-1.273300},{175.936486,-1.280245}}"
5596,220.62330627441406,1.5004864931106567,sami,240108_A_cube_blue,12600.0,,,240108,240108_A,,,,,"{{220.626779,1.497014},{220.626779,1.503959},{220.619832,1.503959},{220.619832,1.497014}}"
5597,180.63626098632812,1.748847484588623,sami,288903_A_cube_blue,10800.0,,,288903,288903_A,,,,,"{{180.639737,1.745375},{180.639737,1.752320},{180.632790,1.752320},{180.632790,1.745375}}"
5598,130.61355590820312,-0.145097553730011,sami,573915_A_cube_blue,18000.0,,,573915,573915_A,,,,,"{{130.617028,-0.148570},{130.617028,-0.141625},{130.610083,-0.141625},{130.610083,-0.148570}}"
5599,14.160055160522461,-1.1259305477142334,sami,9011900150_A_cube_blue,12600.0,,,9011900150,9011900150_A,,,,,"{{14.163528,-1.129403},{14.163528,-1.122458},{14.156583,-1.122458},{14.156583,-1.129403}}"
5600,131.3365936279297,2.0040414333343506,sami,345845_A_cube_blue,11550.0,,,345845,345845_A,,,,,"{{131.340072,2.000569},{131.340072,2.007514},{131.333123,2.007514},{131.333123,2.000569}}"
5601,10.331387519836426,-9.419013977050781,sami,9008500182_A_cube_blue,12600.0,,,9008500182,9008500182_A,,,,,"{{10.334907,-9.422486},{10.334907,-9.415541},{10.327868,-9.415541},{10.327868,-9.422486}}"
5602,176.67942810058594,-0.6782635450363159,sami,39365_A_cube_blue,11700.0,,,39365,39365_A,,,,,"{{176.682903,-0.681736},{176.682903,-0.674791},{176.675958,-0.674791},{176.675958,-0.681736}}"
5603,182.22064208984375,0.7056254148483276,sami,8404_A_cube_blue,12600.0,,,8404,8404_A,,,,,"{{182.224111,0.702153},{182.224111,0.709098},{182.217166,0.709098},{182.217166,0.702153}}"
5604,139.44671630859375,-0.9858195781707764,sami,3634556_A_cube_blue,10210.0,,,3634556,3634556_A,,,,,"{{139.450195,-0.989292},{139.450195,-0.982347},{139.443250,-0.982347},{139.443250,-0.989292}}"
5605,175.82821655273438,0.7479584217071533,sami,7139_A_cube_blue,12600.0,,,7139,7139_A,,,,,"{{175.831695,0.744486},{175.831695,0.751431},{175.824750,0.751431},{175.824750,0.744486}}"
5606,175.05709838867188,1.3765414953231812,sami,271610_A_cube_blue,11300.0,,,271610,271610_A,,,,,"{{175.060571,1.373069},{175.060571,1.380014},{175.053624,1.380014},{175.053624,1.373069}}"
5607,129.077392578125,-0.3495415449142456,sami,202309_A_cube_blue,12600.0,,,202309,202309_A,,,,,"{{129.080861,-0.353014},{129.080861,-0.346069},{129.073916,-0.346069},{129.073916,-0.353014}}"
5608,139.76568603515625,-0.8175975680351257,sami,198503_A_cube_blue,10210.0,,,198503,198503_A,,,,,"{{139.769153,-0.821070},{139.769153,-0.814125},{139.762208,-0.814125},{139.762208,-0.821070}}"
5609,336.48046875,-30.360624313354492,sami,9388000416_A_cube_blue,14400.0,,,9388000416,9388000416_A,,,,,"{{336.484486,-30.364097},{336.484485,-30.357152},{336.476438,-30.357152},{336.476437,-30.364097}}"
5610,336.9700012207031,-30.55904197692871,sami,9388000006_A_cube_blue,12600.0,,,9388000006,9388000006_A,,,,,"{{336.974035,-30.562514},{336.974034,-30.555569},{336.965970,-30.555569},{336.965970,-30.562514}}"
5611,329.1482238769531,-7.937986373901367,sami,9239900300_A_cube_blue,12600.0,,,9239900300,9239900300_A,,,,,"{{329.151728,-7.941459},{329.151728,-7.934514},{329.144716,-7.934514},{329.144716,-7.941459}}"
5612,180.6778106689453,1.952291488647461,sami,230634_A_cube_blue,11900.0,,,230634,230634_A,,,,,"{{180.681280,1.948819},{180.681280,1.955764},{180.674331,1.955764},{180.674331,1.948819}}"
5613,176.83738708496094,-1.702736496925354,sami,137037_A_cube_blue,12250.0,,,137037,137037_A,,,,,"{{176.840862,-1.706209},{176.840862,-1.699264},{176.833915,-1.699264},{176.833915,-1.706209}}"
5614,183.00172424316406,-0.3720415532588959,sami,55648_A_cube_blue,14400.0,,,55648,55648_A,,,,,"{{183.005195,-0.375514},{183.005195,-0.368569},{182.998250,-0.368569},{182.998250,-0.375514}}"
5615,140.00897216796875,1.0383754968643188,sami,279932_A_cube_blue,21600.0,,,279932,279932_A,,,,,"{{140.012445,1.034903},{140.012445,1.041848},{140.005500,1.041848},{140.005500,1.034903}}"
5616,179.59738159179688,0.5519864559173584,sami,84734_A_cube_blue,12600.0,,,84734,84734_A,,,,,"{{179.600861,0.548514},{179.600861,0.555459},{179.593916,0.555459},{179.593916,0.548514}}"
5617,218.40631103515625,-1.7029865980148315,sami,486092_A_cube_blue,10800.0,,,486092,486092_A,,,,,"{{218.409779,-1.706459},{218.409779,-1.699514},{218.402832,-1.699514},{218.402832,-1.706459}}"
5618,10.582846641540527,-9.424236297607422,sami,9008500181_A_cube_blue,10500.0,,,9008500181,9008500181_A,,,,,"{{10.586366,-9.427709},{10.586366,-9.420764},{10.579327,-9.420764},{10.579327,-9.427709}}"
5619,10.582846641540527,-9.424236297607422,sami,9008500181_B_cube_blue,11900.0,,,9008500181,9008500181_B,,,,,"{{10.586366,-9.427709},{10.586366,-9.420764},{10.579327,-9.420764},{10.579327,-9.427709}}"
5620,216.50314331054688,-1.4117366075515747,sami,492414_A_cube_blue,14400.0,,,492414,492414_A,,,,,"{{216.506612,-1.415209},{216.506612,-1.408264},{216.499665,-1.408264},{216.499665,-1.415209}}"
5621,180.96334838867188,-0.7465135455131531,sami,40403_A_cube_blue,14400.0,,,40403,40403_A,,,,,"{{180.966820,-0.749986},{180.966820,-0.743041},{180.959875,-0.743041},{180.959875,-0.749986}}"
5622,355.2699279785156,-29.321903228759766,sami,9091700076_A_cube_blue,12600.0,,,9091700076,9091700076_A,,,,,"{{355.273903,-29.325375},{355.273903,-29.318430},{355.265938,-29.318430},{355.265938,-29.325375}}"
5623,139.81114196777344,1.7803754806518555,sami,325321_A_cube_blue,21600.0,,,325321,325321_A,,,,,"{{139.814612,1.776903},{139.814612,1.783848},{139.807665,1.783848},{139.807665,1.776903}}"
5624,336.701416015625,-30.836652755737305,sami,9388000248_A_cube_blue,12300.0,,,9388000248,9388000248_A,,,,,"{{336.705463,-30.840125},{336.705463,-30.833180},{336.697375,-30.833180},{336.697375,-30.840125}}"
